config,fold_test_start,n_train,n_test,n_fraud_test,fit_secs,best_iter,test_pr_auc,test_pr_auc_cal,test_roc_auc,test_brier_cal,train_pr_auc,threshold,cost,cost_at_half,cost_approve_all,cost_oracle,threshold_oracle,fraud_dollars_caught,fraud_dollars_total,false_decline_rate,recall
A baseline,118,301117,49312,1822,14.4,310,0.527486661641741,0.5103812478645152,0.8884863911496533,0.023532107641887724,0.8799566859085147,0.07200000000000001,182584.2565019071,263305.1653685629,358856.5351600647,182567.88825201392,0.07276938295946171,204452.05225658417,313306.5351600647,0.07201516108654453,0.6684961580680571
A baseline,134,356216,42470,1402,13.5,258,0.4402839001521878,0.41763031439691317,0.8828086454017254,0.02364856455697666,0.837395362152142,0.074,137355.24242216052,212742.33366561233,256259.0617661476,137355.24242216052,0.07152219505911904,135509.20491814613,221209.0617661476,0.05171910002921983,0.5820256776034237
A baseline,150,404122,48044,1473,20.8,442,0.4817903766437157,0.4587335553366842,0.8879468694938678,0.020950497932893674,0.8805727362932242,0.083,147796.4701563701,186005.81054003537,244954.92282032967,144996.40999631732,0.112,131918.1620309353,208129.92282032967,0.07326447789396835,0.6530889341479973
A baseline,166,453434,43838,1690,25.3,537,0.5565795538393983,0.5346564394706519,0.8993000292572861,0.024138644902546587,0.8897111086733278,0.09,137043.529005298,217190.3605988562,307352.43385744095,137043.529005298,0.08954533879452616,186268.05005145073,265102.43385744095,0.058365758754863814,0.6828402366863905
B D-normalised,118,301117,49312,1822,22.1,534,0.5470426238249726,0.53317819854138,0.9012508208441364,0.022933634232044815,0.9470179267179873,0.075,157596.4366978407,245536.68397750257,358856.5351600647,154594.03727046849,0.08800000000000001,235897.41332054138,313306.5351600647,0.07875342177300484,0.716794731064764
B D-normalised,134,356216,42470,1402,16.5,360,0.4772091464231936,0.45972467678146856,0.8964170033848041,0.022641949521856955,0.8885941064794619,0.076,128740.1191890329,188167.47922256886,256259.0617661476,128740.1191890329,0.065,143367.08792972565,221209.0617661476,0.05483588195188468,0.645506419400856
B D-normalised,150,404122,48044,1473,31.8,843,0.509466149107233,0.48412954128580715,0.8960881445018734,0.02045779621337169,0.9554676088120738,0.08954533879452616,136946.5608293459,168642.88355530502,244954.92282032967,136946.5608293459,0.07276938295946171,131303.28298449516,208129.92282032967,0.058706061712224346,0.658520027155465
B D-normalised,166,453434,43838,1690,36.2,848,0.5635308808795639,0.5480303975652642,0.909347422129852,0.023926753693302834,0.9479403171448805,0.082,143356.05582905412,226332.96722819805,307352.43385744095,137266.96639456748,0.068,166429.27505469322,265102.43385744095,0.0376767580905381,0.6325443786982249
C count-encoded,118,301117,49312,1822,11.9,220,0.5385094109596875,0.5175807573156532,0.8951770480769076,0.023338703655451147,0.8461989451006322,0.076,184245.06606108547,262664.7777074933,358856.5351600647,176916.00740901977,0.06559965367780869,192097.81322097778,313306.5351600647,0.0572962728995578,0.641602634467618
C count-encoded,134,356216,42470,1402,15.7,308,0.4533320942933115,0.4379867409997004,0.8825094825505646,0.023156853224899306,0.8558054956712046,0.074,137690.54547763168,191122.60133845508,256259.0617661476,136771.38004250228,0.062,142517.90191555023,221209.0617661476,0.0641618778611084,0.6219686162624821
