config,fold_test_start,n_train,n_test,n_fraud_test,fit_secs,best_iter,test_pr_auc,test_pr_auc_cal,test_roc_auc,test_brier_cal,train_pr_auc,threshold,cost,cost_at_half,cost_approve_all,cost_oracle,threshold_oracle,fraud_dollars_caught,fraud_dollars_total,false_decline_rate,recall
stage1 (card1+addr1+start),118,301117,49312,1822,23.8,310,0.5274652179632604,0.5103750221878447,0.8883905479898824,0.023532373258052547,0.8799566038638026,0.07200000000000001,182584.2565019071,263305.1653685629,358856.5351600647,182567.88825201392,0.07276938295946171,204452.05225658417,313306.5351600647,0.07201516108654453,0.6684961580680571
stage1 (card1+addr1+start),134,356216,42470,1402,14.0,258,0.4402839001521878,0.41763031439691317,0.8828086454017254,0.02364856455697666,0.837395362152142,0.074,137355.24242216052,212742.33366561233,256259.0617661476,137355.24242216052,0.07152219505911904,135509.20491814613,221209.0617661476,0.05171910002921983,0.5820256776034237
stage1 (card1+addr1+start),150,404122,48044,1473,24.9,442,0.48182205654601673,0.458783906581418,0.8879596247664127,0.02095024701099166,0.8805727486825563,0.089,147796.4701563701,186005.81054003537,244954.92282032967,144996.40999631732,0.112,131918.1620309353,208129.92282032967,0.07326447789396835,0.6530889341479973
stage1 (card1+addr1+start),166,453434,43838,1690,32.6,537,0.5565795538393983,0.5346564394706519,0.8993000292572861,0.024138644902546587,0.8897111086733278,0.09,137043.529005298,217190.3605988562,307352.43385744095,137043.529005298,0.08954533879452616,186268.05005145073,265102.43385744095,0.058365758754863814,0.6828402366863905
card1 only,118,301117,49312,1822,20.9,389,0.5455382902507308,0.5261725175197443,0.9027899108229845,0.02325624469780498,0.9158935526772543,0.0779794419525287,177590.30008164345,271156.4399119735,358856.5351600647,177315.66527276934,0.095,201006.50524806976,313306.5351600647,0.06119182985891767,0.672886937431394
card1 only,134,356216,42470,1402,19.9,343,0.45492712715786066,0.43268144183662016,0.886157775691463,0.02326889423725465,0.8794082789684377,0.074,136380.50085974036,200046.17682476342,256259.0617661476,136380.50085974036,0.07,139101.40080738068,221209.0617661476,0.05688127008863349,0.6005706134094151
card1 only,150,404122,48044,1473,32.6,659,0.4998610986591715,0.4816667800553911,0.891624105237675,0.02046608729780921,0.9350685480780097,0.0612167284217622,142000.6057663098,177617.1726852566,244954.92282032967,140548.55826763957,0.082,137277.16702103615,208129.92282032967,0.07375834746945524,0.6741344195519349
card1 only,166,453434,43838,1690,36.9,591,0.5507782804230269,0.5321546189411988,0.9039786820519186,0.024379544071292544,0.9139998074888369,0.07664295932036393,139039.28309138716,212896.02083515524,307352.43385744095,134602.00583350062,0.062284211920039606,176355.0500152111,265102.43385744095,0.04614691088545127,0.649112426035503
card1+start,118,301117,49312,1822,18.5,303,0.5359620386195669,0.5188425707263048,0.8933105681270006,0.023541401127577573,0.8799255603075673,0.06337030995471042,186724.17674274743,272817.8493586063,358856.5351600647,182837.21436656415,0.04974802277838824,205231.77926921844,313306.5351600647,0.07866919351442409,0.6789242590559824
card1+start,134,356216,42470,1402,16.6,307,0.441863020319706,0.4221893418628802,0.8813950770490666,0.023627953761814743,0.8564990782550403,0.08700000000000001,141964.93178925215,201118.83369875848,256259.0617661476,139723.97993142903,0.07276938295946171,124306.76290488243,221209.0617661476,0.0398363689490601,0.5378031383737518
card1+start,150,404122,48044,1473,22.0,344,0.4821965305247987,0.46274574045098527,0.8908448528386305,0.02090770793950573,0.8592673766659229,0.059000000000000004,150303.0704894468,185163.05994868575,244954.92282032967,142510.28019196243,0.12000000000000001,140701.41299510002,208129.92282032967,0.09074316634815657,0.7046843177189409
card1+start,166,453434,43838,1690,31.4,518,0.5404464111763969,0.523688847929067,0.897839369075891,0.024725180331291816,0.8896359886996964,0.076,142703.58221574128,235761.0659949243,307352.43385744095,135507.82417404355,0.06447534712186043,171000.3220422268,265102.43385744095,0.04235076397456582,0.6289940828402367
card1+addr1+start+card2,118,301117,49312,1822,18.9,316,0.5318295345923567,0.5140235059627805,0.8925244935729724,0.023666548791121237,0.8821944772542559,0.076,186548.39257587196,262252.33921266795,358856.5351600647,186419.58824323415,0.055,199132.21623516083,313306.5351600647,0.07119393556538219,0.672886937431394
card1+addr1+start+card2,134,356216,42470,1402,22.9,369,0.4457804421355832,0.4267145099030675,0.8817988122965605,0.023473305144576025,0.8735707570015491,0.07,142095.36382757724,208536.16997889578,256259.0617661476,137953.31548081338,0.074,151182.58191680908,221209.0617661476,0.08549235414434596,0.6611982881597718
card1+addr1+start+card2,150,404122,48044,1473,26.8,487,0.4899674504998402,0.4686686463498425,0.8852584589213824,0.020836146899319986,0.8905693609368773,0.082,146332.0219879225,182901.1474339813,244954.92282032967,146204.56258443743,0.091,121327.29202771187,208129.92282032967,0.05580726203001868,0.6137135098438561
card1+addr1+start+card2,166,453434,43838,1690,35.6,642,0.5513329370618597,0.5370664553873801,0.8977958902778769,0.02429908000272826,0.9074393497439835,0.07664295932036393,136854.29995910526,224664.25814185143,307352.43385744095,135926.19469806552,0.085,185760.23201990128,265102.43385744095,0.05713201100882604,0.6781065088757396
card1+addr1+start+email,118,301117,49312,1822,17.9,296,0.5388675965909563,0.520514459100625,0.8944363987657925,0.023489918677124254,0.8749177924724577,0.07276938295946171,176877.88046916126,266817.07585623267,358856.5351600647,176877.88046916126,0.059000000000000004,221945.99226665497,313306.5351600647,0.0895978100652769,0.7135016465422612
card1+addr1+start+email,134,356216,42470,1402,19.9,335,0.4503228146940503,0.4365211265676836,0.8798864365659432,0.023291919874155565,0.8638619403733985,0.08,137490.5336332828,200539.06445118488,256259.0617661476,136942.47506118714,0.091,140486.8259601593,221209.0617661476,0.06036329989286062,0.6062767475035663
card1+addr1+start+email,150,404122,48044,1473,23.6,546,0.49406334099198856,0.47737560110294996,0.8868270950502355,0.020542128949955142,0.901365390712478,0.08356252478621783,142963.67325330822,186072.85806967615,244954.92282032967,140048.13549753875,0.101,123284.08203577995,208129.92282032967,0.05441154366451225,0.6238968092328581
card1+addr1+start+email,166,453434,43838,1690,32.8,585,0.5425616496297475,0.5248956398456411,0.8956831183212943,0.02452470495374971,0.8983526535154917,0.058,137156.4057849884,229394.14718981384,307352.43385744095,137156.4057849884,0.055,190999.89202332497,265102.43385744095,0.06595805257663472,0.6905325443786983
card1+card2+card3+card5+addr1+start,118,301117,49312,1822,15.6,246,0.5353085793180595,0.5166796305671888,0.8942644635568319,0.023702522265855994,0.8580292811212984,0.059000000000000004,184994.9896696195,267376.707862246,358856.5351600647,182899.10755391122,0.065,216783.75929164886,313306.5351600647,0.09370393767108864,0.712403951701427
card1+card2+card3+card5+addr1+start,134,356216,42470,1402,16.7,271,0.4447016675301477,0.42852384496404206,0.8833486321770774,0.023585965363132604,0.8429654039653334,0.07,141957.1752551347,196383.79588777124,256259.0617661476,137855.772186777,0.116,147420.43093681335,221209.0617661476,0.07840654524203759,0.6440798858773181
card1+card2+card3+card5+addr1+start,150,404122,48044,1473,23.8,489,0.49106901753899135,0.47404943470622796,0.8887002614889181,0.02074072963596015,0.8922219553280856,0.07,148887.84566002936,183334.78772831857,244954.92282032967,142497.34164485187,0.0779794419525287,141546.90802836418,208129.92282032967,0.08908977689978742,0.6938221317040054
